time (s),leafValue( VT("/Vout") "Design_Point" 1 ) (V),leafValue( VT("/Vin") "Design_Point" 1 ) (V),leafValue( IT("/IPRB_LOAD/PLUS") "Design_Point" 1 ) (A)
1.12584110767E-6,905.096827980E-3,1.00000000000,100.000000000E-3
1.12724357726E-6,904.947187353E-3,1.00000000000,100.000000000E-3
1.12842418048E-6,904.379022498E-3,1.00000000000,100.000000000E-3
1.12955354645E-6,903.561728728E-3,1.00000000000,100.000000000E-3
1.13076749309E-6,902.583869351E-3,1.00000000000,100.000000000E-3
1.13230867326E-6,901.547847821E-3,1.00000000000,100.000000000E-3
1.13363818818E-6,901.036148927E-3,1.00000000000,100.000000000E-3
1.13498445856E-6,900.942329028E-3,1.00000000000,100.000000000E-3
1.13624148118E-6,901.166543263E-3,1.00000000000,100.000000000E-3
1.13753020170E-6,901.538781509E-3,1.00000000000,100.000000000E-3
1.13909036773E-6,901.885541772E-3,1.00000000000,100.000000000E-3
1.14045790290E-6,901.914935532E-3,1.00000000000,100.000000000E-3
1.14198929542E-6,901.565258816E-3,1.00000000000,100.000000000E-3
1.14338256678E-6,900.969439349E-3,1.00000000000,100.000000000E-3
1.14480693073E-6,900.258513726E-3,1.00000000000,100.000000000E-3
1.14657296010E-6,899.532891639E-3,1.00000000000,100.000000000E-3
1.14816749147E-6,899.191304039E-3,1.00000000000,100.000000000E-3
1.14980546487E-6,899.169846053E-3,1.00000000000,100.000000000E-3
1.15136422966E-6,899.343941853E-3,1.00000000000,100.000000000E-3
1.15307417251E-6,899.536238241E-3,1.00000000000,100.000000000E-3
1.15591301190E-6,899.420092718E-3,1.00000000000,100.000000000E-3
1.15795033151E-6,898.998054667E-3,1.00000000000,100.000000000E-3
1.15977326727E-6,898.512787768E-3,1.00000000000,100.000000000E-3
1.16189358407E-6,898.053696452E-3,1.00000000000,100.000000000E-3
1.16398808356E-6,897.845074920E-3,1.00000000000,100.000000000E-3
1.16618000745E-6,897.853326223E-3,1.00000000000,100.000000000E-3
1.16833732154E-6,897.929537929E-3,1.00000000000,100.000000000E-3
1.17117157124E-6,897.879828718E-3,1.00000000000,100.000000000E-3
1.17432698382E-6,897.600631773E-3,1.00000000000,100.000000000E-3
1.17695582309E-6,897.329823779E-3,1.00000000000,100.000000000E-3
1.18026842809E-6,897.147762052E-3,1.00000000000,100.000000000E-3
1.18452302681E-6,897.151022404E-3,1.00000000000,100.000000000E-3
1.18805217209E-6,897.199899104E-3,1.00000000000,100.000000000E-3
1.19383916334E-6,897.209903061E-3,1.00000000000,100.000000000E-3
1.19894811046E-6,897.264024536E-3,1.00000000000,100.000000000E-3
1.20537359265E-6,897.503773860E-3,1.00000000000,100.000000000E-3
1.21349566075E-6,897.990817285E-3,1.00000000000,100.000000000E-3
1.22343141256E-6,898.783092481E-3,1.00000000000,100.000000000E-3
1.23691159084E-6,900.217755970E-3,1.00000000000,100.000000000E-3
1.25871915025E-6,903.280859268E-3,1.00000000000,100.000000000E-3
1.28577382545E-6,907.985344681E-3,1.00000000000,100.000000000E-3
1.31832196411E-6,914.326198674E-3,1.00000000000,100.000000000E-3
1.35518478117E-6,921.482390200E-3,1.00000000000,100.000000000E-3
1.38673797762E-6,926.945928959E-3,1.00000000000,100.000000000E-3
1.41334835406E-6,930.718989267E-3,1.00000000000,100.000000000E-3
1.43769112335E-6,933.301471439E-3,1.00000000000,100.000000000E-3
1.46061939556E-6,934.876586737E-3,1.00000000000,100.000000000E-3
1.48297593680E-6,935.578897827E-3,1.00000000000,100.000000000E-3
1.50541201937E-6,935.472205589E-3,1.00000000000,100.000000000E-3
1.52856633493E-6,934.570054219E-3,1.00000000000,100.000000000E-3
1.55307700741E-6,932.848571355E-3,1.00000000000,100.000000000E-3
1.57973700901E-6,930.256529369E-3,1.00000000000,100.000000000E-3
1.61008075143E-6,926.674149203E-3,1.00000000000,100.000000000E-3
1.64867702022E-6,921.678017252E-3,1.00000000000,100.000000000E-3
1.68342234222E-6,917.214077989E-3,1.00000000000,100.000000000E-3
1.72115065954E-6,912.876836628E-3,1.00000000000,100.000000000E-3
